county,phone,name,district,address,url,email
"Columbus,Robeson",(919) 733-5651,Senator Michael P. Walters  (Dem),13,"NC Senate,300 N. Salisbury Street, Room 517
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=269&sChamber=senate,Michael.Walters@ncleg.net
"Moore,Randolph",(919) 733-5870,Senator Jerry W. Tillman  (Rep),29,"NC Senate,300 N. Salisbury Street, Room 627
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=99&sChamber=senate,Jerry.Tillman@ncleg.net
Aye,S700,13S3
Aye,S700,13S4
Aye,S700,13S5
No,S700,13S28
Aye,S700,13S44
Aye,S700,13S583
Aye,S700,13S99
Aye,S700,13S89
Aye,S700,13S540
Aye,S700,13S7
No,S700,13S8
No,S700,13S9
No,S700,13S10
Aye,S700,13S11
Aye,S700,13S16
Aye,S700,13S17
Aye,S700,13S18
No,S700,13S60
Aye,S700,13S205
Aye,S700,13S69
Aye,S700,13S15
Aye,S700,13S590
Aye,S700,13S35
Aye,S700,13S609
Excused Absence,S700,13S871
Aye,S700,13S62
Aye,S700,13S63
Aye,S700,13S130
Aye,S700,13S70
Aye,S700,13S330
Aye,S700,13S286
Aye,S700,13S64
Aye,S700,13S125
Aye,S700,13S258
Aye,S700,13S33
No,S700,13S105
Aye,S700,13S554
Aye,S700,13S86
Aye,S700,13S6
Aye,S700,13S58
Aye,S700,13S46
Aye,S700,13S47
Aye,S700,13S71
Aye,S700,13S111
Aye,S700,13S27
Aye,S700,13S12
Aye,S700,13S13
Aye,S700,13S26
Aye,S700,13S48
Aye,S700,13S52
Aye,S700,13S56
Aye,S700,13S240
Vote,S701,13SRCS #
Vote,S770,13SRCS #
Vote,S771,13SRCS #
Aye,S774,13S557
Aye,S774,13S704
Aye,S774,13S530
Aye,S774,13S531
Aye,S774,13S532
Aye,S774,13S705
Aye,S774,13S455
Aye,S774,13S706
Aye,S774,13S587
Aye,S774,13S588
Aye,S774,13S574
Aye,S774,13S575
Aye,S774,13S889
Aye,S774,13S917
Aye,S774,13S440
Aye,S774,13S456
Aye,S774,13S743
Aye,S774,13S744
No,S774,13S745
Aye,S774,13S746
Aye,S774,13S441
Aye,S774,13S669
Aye,S774,13S722
Aye,S774,13S558
Aye,S774,13S563
Aye,S774,13S624
Aye,S774,13S457
Aye,S774,13S653
Aye,S774,13S458
Aye,S774,13S595
Aye,S774,13S613
Aye,S774,13S855
Aye,S774,13S533
Aye,S774,13S824
Aye,S774,13S825
Aye,S774,13S576
Aye,S774,13S795
Aye,S774,13S796
Aye,S774,13S534
Aye,S774,13S577
Aye,S774,13S535
Aye,S774,13S664
Aye,S774,13S442
Aye,S774,13S665
Aye,S774,13S786
Aye,S774,13S787
Aye,S774,13S536
No,S774,13S537
Aye,S774,13S538
Aye,S774,13S539
No,S774,13S561
Aye,S774,13S562
Aye,S774,13S834
Aye,S774,13S902
Aye,S704,13S918
Aye,S704,13S2
Aye,S704,13S92
Aye,S704,13S116
Aye,S704,13S600
Aye,S704,13S629
Aye,S704,13S717
Aye,S643,13S613
Aye,S703,13S42
Aye,S703,13S75
Aye,S703,13S591
Aye,S703,13S592
Aye,S703,13S566
Aye,S703,13S484
Aye,S703,13S14
Excused Absence,S703,13S31
Aye,S703,13S507
Excused Absence,S703,13S814
Aye,S703,13S876
Aye,S703,13S909
Aye,S703,13S175
Aye,S703,13S54
No,S703,13S66
Aye,S703,13S67
Aye,S703,13S68
Aye,S703,13S425
Aye,S703,13S426
Aye,S703,13S666
Aye,S703,13S886
Aye,S703,13S887
Aye,S703,13S888
Aye,S703,13S893
Aye,S773,13S913
Aye,S773,13S222
Aye,S773,13S223
Aye,S773,13S185
Aye,S773,13S226
Aye,S773,13S227
Aye,S773,13S478
Aye,S773,13S348
Aye,S773,13S394
Aye,S773,13S152
Aye,S773,13S479
Aye,S773,13S297
Aye,S773,13S550
Aye,S773,13S800
Aye,S773,13S193
Aye,S773,13S200
Aye,S773,13S201
Aye,S773,13S480
Aye,S773,13S307
Aye,S773,13S308
Aye,S773,13S551
Aye,S773,13S121
Aye,S773,13S203
Aye,S773,13S552
Aye,S773,13S252
Aye,S773,13S846
Aye,S773,13S870
Aye,S773,13S324
Aye,S773,13S344
No,S773,13S765
Aye,S773,13S875
Aye,S773,13S908
Aye,S773,13S253
Aye,S773,13S265
No,S773,13S892
Aye,S773,13S224
Aye,S773,13S621
Aye,S773,13S513
Aye,S773,13S514
Aye,S773,13S515
No,S773,13S766
Excused Absence,S702,13S423
Aye,S702,13S132
Aye,S702,13S272
Aye,S702,13S273
No,S702,13S274
Aye,S702,13S275
Aye,S702,13S276
Aye,S702,13S277
Aye,S702,13S278
Aye,S702,13S279
No,S702,13S280
Aye,S702,13S751
No,S702,13S831
Aye,S702,13S236
Excused Absence,S702,13S818
Aye,S702,13S180
Aye,S702,13S181
Aye,S702,13S142
Aye,S702,13S143
No,S702,13S885
Aye,S702,13S263
Aye,S702,13S890
Aye,S702,13S119
Aye,S702,13S163
Aye,S702,13S164
Aye,S702,13S238
Aye,S702,13S891
Aye,S702,13S133
Aye,S702,13S229
Excused Absence,S702,13S303
Excused Absence,S702,13S304
Aye,S702,13S281
Aye,S702,13S284
Aye,S702,13S285
Aye,S702,13S378
Aye,S702,13S191
Aye,S702,13S620
Aye,S702,13S212
Aye,S702,13S134
Excused Absence,S702,13S819
No,S702,13S292
No,S702,13S912
Aye,S702,13S792
Aye,S702,13S135
Aye,S702,13S763
Aye,S702,13S136
No,S772,13S278
No,S772,13S279
Aye,S772,13S280
No,S772,13S751
Aye,S772,13S831
Aye,S772,13S236
Aye,S772,13S818
Aye,S772,13S180
Aye,S772,13S181
Aye,S772,13S142
Aye,S772,13S143
Aye,S772,13S885
Aye,S772,13S263
Aye,S772,13S890
Aye,S772,13S119
Aye,S772,13S163
Aye,S772,13S164
Aye,S772,13S238
Aye,S772,13S891
Aye,S772,13S133
Aye,S772,13S229
Aye,S772,13S303
Aye,S772,13S304
Aye,S772,13S281
Aye,S772,13S284
Aye,S772,13S285
Aye,S772,13S378
Aye,S772,13S191
Aye,S772,13S620
Aye,S772,13S212
Aye,S772,13S134
Aye,S772,13S819
Aye,S772,13S292
Aye,S772,13S912
Aye,S772,13S792
Aye,S772,13S135
Aye,S772,13S763
Aye,S772,13S136
Aye,S772,13S469
Aye,S772,13S150
Aye,S772,13S320
No,S772,13S470
Aye,S772,13S313
Aye,S772,13S314
Aye,S772,13S315
Aye,S772,13S708
No,S631,13S399
No,S631,13S400
Aye,S631,13S401
No,S631,13S402
Aye,S631,13S403
Aye,S631,13S404
Aye,S631,13S405
No,S631,13S406
No,S631,13S407
Aye,S631,13S408
N/V,S631,13S409
Aye,S631,13S410
Aye,S631,13S411
No,S631,13S412
Aye,S631,13S413
No,S631,13S580
Aye,S631,13S829
Aye,S631,13S836
Aye,S631,13S321
Aye,S631,13S358
Aye,S631,13S758
Aye,S631,13S611
Aye,S631,13S332
No,S631,13S545
Aye,S631,13S759
Aye,S631,13S151
Aye,S631,13S475
Aye,S631,13S293
Aye,S631,13S827
Aye,S631,13S171
Aye,S631,13S172
Aye,S631,13S182
Aye,S631,13S359
Aye,S631,13S338
Aye,S631,13S137
Excused Absence,S631,13S213
Excused Absence,S631,13S214
Aye,S631,13S546
Aye,S631,13S264
Aye,S631,13S547
Aye,S631,13S305
Aye,S631,13S329
Aye,S631,13S138
Aye,S631,13S139
Aye,S700,13S259
Aye,S700,13S19
Aye,S700,13S100
Aye,S700,13S895
Aye,S700,13S34
Aye,S700,13S316
Aye,S700,13S789
Aye,S700,13S36
Aye,S700,13S37
Aye,S700,13S38
Aye,S700,13S39
No,S700,13S40
Aye,S700,13S41
Aye,S700,13S45
No,S700,13S541
Aye,S700,13S830
Aye,S700,13S300
Aye,S700,13S80
No,S700,13S81
No,S700,13S82
No,S700,13S83
Aye,S700,13S84
Aye,S700,13S85
Aye,S700,13S773
N/V,S700,13S797
Aye,S700,13S101
Aye,S700,13S257
Aye,S700,13S53
Aye,S700,13S349
Aye,S700,13S65
No,S700,13S176
Aye,S700,13S283
Aye,S700,13S57
Aye,S700,13S61
Aye,S700,13S155
Aye,S700,13S156
Aye,S700,13S271
Aye,S700,13S287
Aye,S700,13S347
Aye,S700,13S393
Aye,S700,13S826
Aye,S700,13S845
Aye,S700,13S190
Aye,S700,13S32
Aye,S700,13S350
Aye,S700,13S371
Aye,S700,13S372
Aye,S700,13S72
Aye,S700,13S87
Aye,S701,13S1
Aye,S701,13S3
Aye,S701,13S4
Aye,S701,13S5
No,S701,13S28
Aye,S701,13S44
Aye,S701,13S583
Excused Absence,S701,13S99
Aye,S701,13S89
Aye,S701,13S540
Aye,S701,13S7
No,S701,13S8
No,S701,13S9
No,S701,13S10
Aye,S701,13S11
Aye,S701,13S16
Aye,S701,13S17
Aye,S701,13S18
No,S701,13S60
Aye,S701,13S205
Aye,S701,13S69
Aye,S701,13S15
Aye,S701,13S590
Aye,S701,13S35
Aye,S701,13S609
Excused Absence,S701,13S871
Aye,S701,13S62
Aye,S701,13S63
Aye,S701,13S130
Aye,S701,13S70
Aye,S701,13S330
Aye,S701,13S286
Aye,S701,13S64
Aye,S701,13S125
Aye,S701,13S258
Excused Absence,S701,13S33
Excused Absence,S701,13S105
Aye,S701,13S554
Aye,S701,13S86
Aye,S701,13S6
Aye,S701,13S58
Aye,S701,13S46
Aye,S701,13S47
Aye,S701,13S71
Aye,S701,13S111
Aye,S701,13S27
Aye,S701,13S12
Aye,S701,13S13
Aye,S701,13S26
Aye,S701,13S48
Aye,S770,13S1
Aye,S770,13S3
No,S770,13S4
No,S770,13S5
No,S770,13S28
No,S770,13S44
Aye,S770,13S583
Excused Absence,S770,13S99
Excused Absence,S770,13S89
Aye,S770,13S540
Aye,S770,13S7
Aye,S770,13S8
Aye,S770,13S9
Aye,S770,13S10
No,S770,13S11
Aye,S770,13S16
Aye,S770,13S17
No,S770,13S18
Aye,S770,13S60
No,S770,13S205
Aye,S770,13S69
Aye,S770,13S15
Aye,S770,13S590
Aye,S770,13S35
Aye,S770,13S609
Aye,S770,13S871
Aye,S770,13S62
Aye,S770,13S63
Aye,S770,13S130
Aye,S770,13S70
Aye,S770,13S330
Aye,S770,13S286
Aye,S770,13S64
Aye,S770,13S125
N/V,S770,13S258
Aye,S770,13S33
Excused Absence,S770,13S105
Aye,S770,13S554
Aye,S770,13S86
Aye,S770,13S6
No,S770,13S58
Excused Absence,S770,13S46
Excused Absence,S770,13S47
Aye,S770,13S71
Aye,S770,13S111
Aye,S770,13S27
Aye,S770,13S12
Aye,S770,13S13
Aye,S770,13S26
Aye,S771,13S1
Aye,S771,13S3
Aye,S771,13S4
Aye,S771,13S5
No,S771,13S28
Aye,S771,13S44
Aye,S771,13S583
Aye,S771,13S99
Aye,S771,13S89
Aye,S771,13S540
Aye,S771,13S7
No,S771,13S8
No,S771,13S9
No,S771,13S10
Aye,S771,13S11
Aye,S771,13S16
Aye,S771,13S17
Aye,S771,13S18
No,S771,13S60
Aye,S771,13S205
Aye,S771,13S69
Aye,S771,13S15
Aye,S771,13S590
Aye,S771,13S35
Aye,S771,13S609
Aye,S771,13S871
Aye,S771,13S62
Aye,S771,13S63
Aye,S771,13S130
Aye,S771,13S70
Aye,S771,13S330
Aye,S771,13S286
Aye,S771,13S64
Aye,S771,13S125
Aye,S771,13S258
Aye,S771,13S33
No,S771,13S105
Aye,S771,13S554
Aye,S774,13S414
Aye,S774,13S707
No,S774,13S559
Aye,S774,13S560
N/V,S774,13S670
Aye,S774,13S671
Aye,S774,13S723
Aye,S774,13S767
Aye,S774,13S770
Aye,S774,13S622
Aye,S774,13S421
Aye,S774,13S837
Aye,S774,13S867
Aye,S774,13S733
Aye,S774,13S752
Aye,S774,13S915
Aye,S774,13S918
Aye,S774,13S2
Aye,S774,13S92
Aye,S774,13S116
Aye,S774,13S600
Aye,S774,13S629
Aye,S774,13S717
Aye,S643,13S855
Aye,S703,13S894
Aye,S703,13S672
Aye,S703,13S673
Aye,S703,13S674
Aye,S703,13S675
Aye,S703,13S676
Aye,S703,13S677
Aye,S703,13S678
Aye,S703,13S724
Aye,S703,13S679
Aye,S703,13S906
Aye,S703,13S427
Aye,S703,13S367
Aye,S703,13S516
Aye,S703,13S584
Aye,S703,13S897
Aye,S703,13S445
Aye,S703,13S841
Aye,S703,13S654
Aye,S703,13S50
Aye,S703,13S140
Aye,S703,13S428
Aye,S703,13S599
Aye,S703,13S630
Aye,S703,13S416
Aye,S703,13S567
Aye,S703,13S231
Aye,S703,13S485
Aye,S703,13S655
Aye,S703,13S680
Aye,S703,13S681
Aye,S703,13S725
Aye,S703,13S726
Aye,S703,13S656
Aye,S703,13S88
No,S773,13S903
Aye,S773,13S266
Aye,S773,13S381
Aye,S773,13S813
Aye,S773,13S364
Aye,S773,13S365
No,S773,13S194
Aye,S773,13S195
Aye,S773,13S196
Aye,S773,13S159
Aye,S773,13S232
No,S773,13S233
Aye,S773,13S234
Aye,S773,13S254
Aye,S773,13S255
Aye,S773,13S256
Aye,S773,13S331
Aye,S773,13S644
Aye,S773,13S382
Aye,S773,13S383
Aye,S773,13S325
Aye,S773,13S820
Aye,S773,13S333
Aye,S773,13S334
Aye,S773,13S553
Aye,S773,13S267
Aye,S773,13S173
Aye,S773,13S645
Aye,S773,13S335
Aye,S773,13S309
Aye,S773,13S713
Aye,S773,13S174
Aye,S773,13S642
Aye,S773,13S384
Aye,S773,13S160
Aye,S773,13S564
Aye,S773,13S565
Aye,S773,13S326
Aye,S773,13S327
No,S773,13S714
Aye,S773,13S850
Aye,S773,13S366
Aye,S773,13S161
Aye,S773,13S165
Aye,S773,13S385
Aye,S773,13S715
Aye,S773,13S310
Aye,S773,13S505
Aye,S773,13S910
Aye,S702,13S469
Aye,S702,13S150
Aye,S702,13S320
No,S702,13S470
Aye,S702,13S313
Aye,S702,13S314
Aye,S702,13S315
Excused Absence,S702,13S708
Excused Absence,S702,13S709
Aye,S702,13S398
Aye,S702,13S399
Aye,S702,13S400
No,S702,13S401
Aye,S702,13S402
No,S702,13S403
Aye,S702,13S404
Aye,S702,13S405
Aye,S702,13S406
No,S702,13S407
No,S702,13S408
Aye,S702,13S409
No,S702,13S410
Aye,S702,13S411
Aye,S702,13S412
No,S702,13S413
No,S702,13S580
No,S702,13S829
No,S702,13S836
Aye,S702,13S321
Aye,S702,13S358
Aye,S702,13S758
Excused Absence,S702,13S611
Aye,S702,13S332
No,S702,13S545
Aye,S702,13S759
Aye,S702,13S151
Aye,S702,13S475
Aye,S702,13S293
No,S702,13S827
Aye,S702,13S171
No,S702,13S172
Aye,S702,13S182
Aye,S702,13S359
Aye,S702,13S338
Aye,S702,13S137
Aye,S702,13S213
Aye,S702,13S214
Aye,S702,13S546
No,S702,13S264
Aye,S702,13S547
Aye,S772,13S709
No,S772,13S398
No,S772,13S399
No,S772,13S400
Aye,S772,13S401
No,S772,13S402
Aye,S772,13S403
Aye,S772,13S404
Aye,S772,13S405
No,S772,13S406
No,S772,13S407
Aye,S772,13S408
Aye,S772,13S409
Aye,S772,13S410
Aye,S772,13S411
No,S772,13S412
Aye,S772,13S413
No,S772,13S580
Aye,S772,13S829
Aye,S772,13S836
Aye,S772,13S321
Aye,S772,13S358
Aye,S772,13S758
Aye,S772,13S611
Aye,S772,13S332
No,S772,13S545
Aye,S772,13S759
Aye,S772,13S151
Aye,S772,13S475
Aye,S772,13S293
Aye,S772,13S827
Aye,S772,13S171
Aye,S772,13S172
Aye,S772,13S182
Aye,S772,13S359
Aye,S772,13S338
Aye,S772,13S137
Aye,S772,13S213
Aye,S772,13S214
Aye,S772,13S546
Aye,S772,13S264
Aye,S772,13S547
Aye,S772,13S305
Aye,S772,13S329
Aye,S772,13S138
Aye,S772,13S139
Aye,S772,13S219
Aye,S772,13S548
Aye,S772,13S294
Aye,S772,13S202
Aye,S772,13S764
Aye,S631,13S219
Aye,S631,13S548
Aye,S631,13S294
Aye,S631,13S202
Aye,S631,13S764
Aye,S631,13S183
Aye,S631,13S184
Aye,S631,13S220
Aye,S631,13S192
Aye,S631,13S360
Aye,S631,13S322
Aye,S631,13S323
Aye,S631,13S379
Aye,S631,13S549
Aye,S631,13S157
Aye,S631,13S158
Aye,S631,13S873
Aye,S631,13S306
Aye,S631,13S914
Aye,S631,13S373
Aye,S631,13S374
Aye,S631,13S241
Aye,S631,13S260
Aye,S631,13S261
Aye,S631,13S361
Aye,S631,13S362
Aye,S631,13S650
Aye,S631,13S651
Aye,S631,13S668
No,S631,13S835
Aye,S631,13S849
Aye,S631,13S874
Aye,S631,13S295
Aye,S631,13S648
Aye,S631,13S649
Aye,S631,13S243
Aye,S631,13S476
Aye,S631,13S641
Aye,S631,13S790
Aye,S631,13S244
Aye,S631,13S245
No,S631,13S246
No,S631,13S247
Aye,S631,13S248
Aye,S631,13S249
Aye,S631,13S250
No,S631,13S268
No,S631,13S269
Aye,S631,13S270
Aye,S631,13S477
Aye,S631,13S296
No,S700,13S169
Aye,S700,13S230
Aye,S700,13S59
Aye,S700,13S78
Aye,S700,13S147
Aye,S700,13S542
Aye,S700,13S317
Aye,S700,13S318
Aye,S700,13S342
Aye,S700,13S343
No,S700,13S823
Aye,S700,13S235
Aye,S700,13S311
Aye,S700,13S312
Aye,S700,13S328
Aye,S700,13S710
Aye,S700,13S51
Aye,S700,13S208
Aye,S700,13S472
Aye,S700,13S141
Aye,S700,13S144
Aye,S700,13S145
Aye,S700,13S762
Aye,S700,13S55
Aye,S700,13S93
Aye,S700,13S388
No,S700,13S389
Aye,S700,13S390
Aye,S700,13S391
Aye,S700,13S817
Aye,S700,13S351
Aye,S700,13S473
Aye,S700,13S113
Aye,S700,13S118
Aye,S700,13S788
Aye,S700,13S805
Aye,S700,13S148
Aye,S700,13S91
Aye,S700,13S97
Aye,S700,13S628
Aye,S700,13S352
Aye,S700,13S395
Aye,S700,13S711
Aye,S700,13S94
Aye,S700,13S98
Aye,S700,13S106
Aye,S700,13S177
Aye,S700,13S178
Aye,S700,13S179
Aye,S700,13S353
Aye,S700,13S354
No,S700,13S847
Aye,S700,13S899
Aye,S700,13S209
Aye,S701,13S52
Aye,S701,13S56
Aye,S701,13S240
Aye,S701,13S259
Aye,S701,13S19
Excused Absence,S701,13S100
Aye,S701,13S895
Excused Absence,S701,13S34
Aye,S701,13S316
Aye,S701,13S789
Aye,S701,13S36
Aye,S701,13S37
Aye,S701,13S38
Aye,S701,13S39
No,S701,13S40
Aye,S701,13S41
Aye,S701,13S45
No,S701,13S541
Aye,S701,13S830
Aye,S701,13S300
Aye,S701,13S80
No,S701,13S81
No,S701,13S82
No,S701,13S83
Aye,S701,13S84
Aye,S701,13S85
Aye,S701,13S773
Aye,S701,13S797
Excused Absence,S701,13S101
Aye,S701,13S257
Aye,S701,13S53
Aye,S701,13S349
Aye,S701,13S65
No,S701,13S176
Aye,S701,13S283
Aye,S701,13S57
Aye,S701,13S61
Aye,S701,13S155
Aye,S701,13S156
Aye,S701,13S271
Aye,S701,13S287
Aye,S701,13S347
Aye,S701,13S393
Excused Absence,S770,13S48
Aye,S770,13S52
Aye,S770,13S56
No,S770,13S240
No,S770,13S259
Aye,S770,13S19
Excused Absence,S770,13S100
Aye,S770,13S895
Aye,S770,13S34
Aye,S770,13S316
Aye,S770,13S789
Aye,S770,13S36
Aye,S770,13S37
No,S770,13S38
Aye,S770,13S39
Aye,S770,13S40
No,S770,13S41
Excused Absence,S770,13S45
Aye,S770,13S541
No,S770,13S830
Aye,S770,13S300
No,S770,13S80
Aye,S770,13S81
Aye,S770,13S82
Aye,S770,13S83
No,S770,13S84
No,S770,13S85
No,S770,13S773
No,S770,13S797
Excused Absence,S770,13S101
Aye,S770,13S257
Aye,S770,13S53
Aye,S770,13S349
Aye,S770,13S65
No,S770,13S176
Aye,S770,13S283
Aye,S770,13S57
Aye,S770,13S61
Aye,S770,13S155
Aye,S770,13S156
Aye,S770,13S271
Aye,S770,13S287
Aye,S770,13S347
Aye,S770,13S393
Aye,S770,13S826
Aye,S771,13S86
Aye,S771,13S6
Aye,S771,13S58
Aye,S771,13S46
Aye,S771,13S47
Aye,S771,13S71
Aye,S771,13S111
Aye,S771,13S27
Aye,S771,13S12
Aye,S771,13S13
Aye,S771,13S26
Aye,S771,13S48
Aye,S771,13S52
Aye,S771,13S56
Aye,S771,13S240
Aye,S771,13S259
Aye,S771,13S19
Aye,S771,13S100
Aye,S771,13S895
Aye,S771,13S34
Aye,S771,13S316
Aye,S771,13S789
Aye,S771,13S36
Aye,S771,13S37
Aye,S771,13S38
Aye,S771,13S39
No,S771,13S40
Aye,S771,13S41
Aye,S771,13S45
No,S771,13S541
Aye,S771,13S830
Aye,S771,13S300
Aye,S771,13S80
No,S771,13S81
No,S771,13S82
No,S771,13S83
Aye,S771,13S84
Vote,S705,13SRCS #
Aye,S643,13S533
Aye,S643,13S824
Aye,S643,13S825
Aye,S643,13S576
Aye,S643,13S795
Aye,S643,13S796
Aye,S643,13S534
Aye,S643,13S577
Aye,S643,13S535
Aye,S643,13S664
Aye,S643,13S442
Aye,S643,13S665
Aye,S643,13S786
Aye,S643,13S787
No,S643,13S536
Aye,S643,13S537
Aye,S643,13S538
No,S643,13S539
Aye,S643,13S561
No,S643,13S562
No,S643,13S834
Excused Absence,S643,13S902
Aye,S643,13S414
Aye,S643,13S707
Aye,S643,13S559
No,S643,13S560
Aye,S643,13S670
No,S643,13S671
Excused Absence,S643,13S723
No,S643,13S767
No,S643,13S770
Aye,S643,13S622
Aye,S643,13S421
Aye,S643,13S837
Excused Absence,S643,13S867
Aye,S643,13S733
Aye,S643,13S752
Excused Absence,S643,13S915
No,S643,13S918
Aye,S643,13S2
Aye,S643,13S92
Aye,S643,13S116
Aye,S643,13S600
Aye,S643,13S629
No,S643,13S717
Aye,S703,13S771
Excused Absence,S703,13S793
Aye,S703,13S657
Aye,S703,13S154
Aye,S703,13S777
Aye,S703,13S868
Aye,S703,13S461
Aye,S703,13S517
No,S703,13S578
Aye,S703,13S486
Aye,S703,13S736
Aye,S703,13S518
Aye,S703,13S593
Aye,S703,13S594
Aye,S703,13S487
No,S703,13S166
Aye,S703,13S167
Aye,S703,13S658
Aye,S703,13S791
Aye,S703,13S488
Aye,S703,13S659
No,S703,13S336
Aye,S703,13S337
Aye,S703,13S589
Aye,S703,13S225
Aye,S703,13S489
Aye,S703,13S612
Aye,S703,13S682
Aye,S703,13S683
Aye,S703,13S684
Aye,S703,13S685
Aye,S703,13S768
Aye,S703,13S339
Aye,S703,13S340
Aye,S703,13S490
Aye,S703,13S754
Aye,S703,13S660
Aye,S703,13S661
Aye,S703,13S601
Aye,S703,13S631
Excused Absence,S703,13S801
Aye,S703,13S555
Aye,S703,13S429
Aye,S703,13S430
Aye,S703,13S491
Aye,S703,13S431
Aye,S703,13S519
Aye,S703,13S832
Aye,S703,13S833
Aye,S703,13S686
Aye,S703,13S687
Aye,S703,13S727
Aye,S703,13S432
Aye,S703,13S602
Aye,S703,13S632
Aye,S773,13S911
No,S773,13S20
No,S773,13S21
No,S773,13S22
No,S773,13S23
Excused Absence,S702,13S305
Aye,S702,13S329
Aye,S702,13S138
Aye,S702,13S139
Aye,S702,13S219
Aye,S702,13S548
Aye,S702,13S294
Aye,S702,13S202
Aye,S702,13S764
Aye,S702,13S183
Aye,S702,13S184
Aye,S702,13S220
Aye,S702,13S192
Aye,S702,13S360
Aye,S702,13S322
Aye,S702,13S323
Aye,S702,13S379
Aye,S702,13S549
Excused Absence,S702,13S157
Excused Absence,S702,13S158
Aye,S702,13S873
Excused Absence,S702,13S306
Aye,S702,13S914
Aye,S702,13S373
Aye,S702,13S374
Aye,S702,13S241
Aye,S702,13S260
Aye,S702,13S261
Aye,S702,13S361
Aye,S702,13S362
Excused Absence,S702,13S650
Excused Absence,S702,13S651
Excused Absence,S702,13S668
No,S702,13S835
Aye,S702,13S849
Aye,S702,13S874
Aye,S702,13S295
Aye,S702,13S648
Aye,S702,13S649
Aye,S702,13S243
Aye,S702,13S476
Aye,S702,13S641
Aye,S702,13S790
Aye,S702,13S244
Aye,S702,13S245
Aye,S702,13S246
Aye,S772,13S183
Aye,S772,13S184
Aye,S772,13S220
Aye,S772,13S192
Aye,S772,13S360
Aye,S772,13S322
Aye,S772,13S323
Aye,S772,13S379
Aye,S772,13S549
Aye,S772,13S157
Aye,S772,13S158
Aye,S772,13S873
Aye,S772,13S306
Aye,S772,13S914
Aye,S772,13S373
Aye,S772,13S374
Aye,S772,13S241
Aye,S772,13S260
Aye,S772,13S261
Aye,S772,13S361
Aye,S772,13S362
Aye,S772,13S650
Aye,S772,13S651
Aye,S772,13S668
No,S772,13S835
Aye,S772,13S849
No,S772,13S874
Aye,S772,13S295
Aye,S772,13S648
Aye,S772,13S649
Aye,S772,13S243
Aye,S772,13S476
Aye,S772,13S641
Aye,S772,13S790
Aye,S772,13S244
Aye,S772,13S245
No,S772,13S246
No,S772,13S247
Aye,S772,13S248
Aye,S772,13S249
Aye,S772,13S250
No,S772,13S268
No,S772,13S269
Aye,S772,13S270
Aye,S772,13S477
Aye,S772,13S296
Aye,S772,13S646
Aye,S631,13S646
Aye,S631,13S251
Aye,S631,13S363
Aye,S631,13S581
Aye,S631,13S380
No,S631,13S828
Aye,S631,13S221
Aye,S631,13S239
Aye,S631,13S386
Aye,S631,13S387
Aye,S631,13S913
Aye,S631,13S222
Aye,S631,13S223
Aye,S631,13S185
Aye,S631,13S226
Aye,S631,13S227
Aye,S631,13S478
Aye,S631,13S348
N/V,S631,13S394
Aye,S631,13S152
Aye,S631,13S479
Aye,S631,13S297
Aye,S631,13S550
Aye,S631,13S800
Aye,S631,13S193
Aye,S631,13S200
Aye,S631,13S201
Aye,S631,13S480
Aye,S631,13S307
Aye,S631,13S308
Aye,S631,13S551
Aye,S631,13S121
Aye,S631,13S203
Aye,S631,13S552
Aye,S631,13S252
Aye,S631,13S846
Aye,S631,13S870
Aye,S631,13S324
Aye,S631,13S344
No,S631,13S765
Aye,S631,13S875
Aye,S631,13S908
Aye,S631,13S253
Aye,S631,13S265
Aye,S631,13S892
Aye,S631,13S224
Aye,S631,13S621
Aye,S631,13S513
Aye,S631,13S514
Aye,S700,13S288
Aye,S700,13S289
Aye,S700,13S146
Aye,S700,13S95
Aye,S700,13S103
Aye,S700,13S104
No,S700,13S474
Aye,S700,13S753
Aye,S700,13S210
Aye,S700,13S96
Aye,S700,13S643
Aye,S700,13S102
Aye,S700,13S122
Aye,S700,13S123
Aye,S700,13S459
Aye,S700,13S114
Aye,S700,13S355
Aye,S700,13S356
Aye,S700,13S168
Aye,S700,13S543
Aye,S700,13S107
Aye,S700,13S115
Aye,S700,13S774
Aye,S700,13S108
No,S700,13S618
Aye,S700,13S716
Aye,S700,13S149
Aye,S700,13S376
Aye,S700,13S377
Excused Absence,S700,13S872
Aye,S700,13S170
Aye,S700,13S468
Aye,S700,13S131
Aye,S700,13S228
Aye,S700,13S211
Aye,S700,13S482
Aye,S700,13S79
Aye,S700,13S290
Aye,S700,13S647
Aye,S700,13S291
Aye,S700,13S619
Aye,S700,13S112
Aye,S700,13S117
Aye,S700,13S346
Aye,S700,13S392
Aye,S700,13S237
Aye,S700,13S120
Aye,S700,13S712
Aye,S700,13S262
Aye,S700,13S598
Aye,S700,13S197
No,S700,13S198
No,S700,13S199
No,S700,13S883
No,S700,13S900
Aye,S700,13S775
Aye,S701,13S826
Aye,S701,13S845
Aye,S701,13S190
Aye,S701,13S32
Aye,S701,13S350
Aye,S701,13S371
Aye,S701,13S372
Aye,S701,13S72
Aye,S701,13S87
No,S701,13S169
Aye,S701,13S230
Aye,S701,13S59
Aye,S701,13S78
